epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
75,68.0839,0.25253,0.80405,1,0.5804,0.000539641,0.000539641,0.000539641
76,68.9754,0.18448,0.76351,1,0.57446,0.000537285,0.000537285,0.000537285
77,69.8449,0.17749,0.77027,1,0.78369,0.000534929,0.000534929,0.000534929
78,70.6293,0.21291,0.73649,0.97297,0.81795,0.000532573,0.000532573,0.000532573
79,71.5115,0.23352,0.75676,0.97297,0.8859,0.000530216,0.000530216,0.000530216
80,72.3691,0.24128,0.78378,1,0.58293,0.00052786,0.00052786,0.00052786
81,73.146,0.39304,0.81081,0.98649,0.88603,0.000525504,0.000525504,0.000525504
82,74.0491,0.28127,0.7973,1,0.46305,0.000523148,0.000523148,0.000523148
83,74.8986,0.21606,0.81081,1,0.54305,0.000520792,0.000520792,0.000520792
84,75.7917,0.21107,0.81081,0.97297,0.77816,0.000518435,0.000518435,0.000518435
85,76.6984,0.23166,0.75676,1,0.6106,0.000516079,0.000516079,0.000516079
86,77.5176,0.20758,0.78378,1,0.44393,0.000513723,0.000513723,0.000513723
87,78.4091,0.20991,0.81081,1,0.26298,0.000511367,0.000511367,0.000511367
88,79.2287,0.16559,0.77703,1,0.48364,0.000509011,0.000509011,0.000509011
89,80.0545,0.16737,0.74324,1,0.5647,0.000506654,0.000506654,0.000506654
90,80.9322,0.20343,0.77027,1,0.48706,0.000504298,0.000504298,0.000504298
91,81.7945,0.20625,0.81081,1,0.49341,0.000501942,0.000501942,0.000501942
92,82.6238,0.18521,0.81081,1,0.37219,0.000499586,0.000499586,0.000499586
93,83.5148,0.15836,0.7973,1,0.64087,0.00049723,0.00049723,0.00049723
94,84.4183,0.18186,0.83108,1,0.58252,0.000494873,0.000494873,0.000494873
95,85.2768,0.23885,0.81081,1,0.69743,0.000492517,0.000492517,0.000492517
96,86.1204,0.18133,0.78378,1,0.76294,0.000490161,0.000490161,0.000490161
97,86.9428,0.19351,0.77027,0.90541,1.0931,0.000487805,0.000487805,0.000487805
98,87.7901,0.22559,0.78378,0.93243,0.88664,0.000485449,0.000485449,0.000485449
99,88.6281,0.19162,0.82432,0.93243,0.84294,0.000483092,0.000483092,0.000483092
100,89.4289,0.2158,0.85135,0.93243,1.05078,0.000480736,0.000480736,0.000480736
101,90.2983,0.20568,0.85135,0.93243,0.90837,0.00047838,0.00047838,0.00047838
102,91.1693,0.20329,0.85135,0.93243,1.05192,0.000476024,0.000476024,0.000476024
103,92.0377,0.25062,0.81081,0.93243,1.23714,0.000473668,0.000473668,0.000473668
